,Cuisine,BusinessId,Name,Address,Coordinates,URL,NumberOfReviews,Rating,ZipCode
3138,indian,VSPkVw9gSQx-5v4A6aC_YA,Manousheh - Bleecker,"['193 Bleecker St', 'New York, NY 10012']","{'latitude': 40.729511, 'longitude': -74.001275}",https://www.yelp.com/biz/manousheh-bleecker-new-york-8?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,498,4.5,10012
3139,indian,lIXVm16VchbDXOf7v4hxMA,Haandi,"['113 Lexington Ave', 'New York, NY 10016']","{'latitude': 40.7424, 'longitude': -73.98237}",https://www.yelp.com/biz/haandi-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,333,3.5,10016
3140,indian,rp_TaJRjaNmOCb8vJ2S_sw,Blossom on Columbus,"['507 Columbus Ave', 'New York, NY 10024']","{'latitude': 40.7853146, 'longitude': -73.9728638}",https://www.yelp.com/biz/blossom-on-columbus-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,480,4.0,10024
3141,indian,YJ88ZwMU499QfkD52qSJBw,Brick Lane Curry House,"['136 Newark Ave', 'Jersey City, NJ 07302']","{'latitude': 40.72046, 'longitude': -74.04345}",https://www.yelp.com/biz/brick-lane-curry-house-jersey-city?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,89,4.0,07302
3142,indian,h0Z2RZBZbiqS-Yw22WyTaQ,Maharaja Palace,"['2113 Frederick Douglass Blvd', 'New York, NY 10026']","{'latitude': 40.8033065717907, 'longitude': -73.9562846158103}",https://www.yelp.com/biz/maharaja-palace-new-york-2?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,179,3.5,10026
3143,indian,9heTBCW1DDAKyO0GrY3Nxw,Delhi Masala,"['2077 Adam Clayton Powell Jr Blvd', 'New York, NY 10027']","{'latitude': 40.80799, 'longitude': -73.94856}",https://www.yelp.com/biz/delhi-masala-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,178,4.0,10027
3144,indian,tXZOJhUUknjTRRo9j4ckZg,Farida Central Asian Cuisine & Grill - Midtown,"['498 9th Ave', 'New York, NY 10018']","{'latitude': 40.75568479045403, 'longitude': -73.99444701949656}",https://www.yelp.com/biz/farida-central-asian-cuisine-and-grill-midtown-new-york-3?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,447,4.0,10018
3145,indian,PEEw2ip9VrmiMBP4b6op_g,Govinda's Vegetarian Lunch,"['305 Schermerhorn St', 'Brooklyn, NY 11217']","{'latitude': 40.68771, 'longitude': -73.98241}",https://www.yelp.com/biz/govindas-vegetarian-lunch-brooklyn-4?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,183,4.5,11217
3146,indian,lnI9toC-uAhBIbtHDMxvcA,Indika House,"['943 Broadway', 'Brooklyn, NY 11206']","{'latitude': 40.69716, 'longitude': -73.9353}",https://www.yelp.com/biz/indika-house-brooklyn?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,113,4.5,11206
3147,indian,so3ReIE_QdVjeCsRhCCLLg,Kolkata Chai Cafe,"['199 E 3rd St', 'New York, NY 10009']","{'latitude': 40.72291487086537, 'longitude': -73.98321706640796}",https://www.yelp.com/biz/kolkata-chai-cafe-new-york?adjust_creative=52yWt2D7942eXXw-S7kpfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52yWt2D7942eXXw-S7kpfA,83,4.0,10009
